date;Region;dengue;dengue hemorragico;mosquito dengue;dolor de cabeza;mosquitos;sintomas dengue;vomito
2011-06-19;CO-CUN;64;0;0;43;0;60;58
2011-06-26;CO-CUN;35;38;0;30;34;0;78
2011-07-03;CO-CUN;49;44;0;53;0;0;70
2011-07-10;CO-CUN;14;0;0;87;48;0;44
2011-07-17;CO-CUN;22;0;0;43;41;0;0
2011-07-24;CO-CUN;64;20;0;51;79;20;24
2011-07-31;CO-CUN;20;0;0;52;26;0;33
2011-08-07;CO-CUN;18;0;0;46;0;0;80
2011-08-14;CO-CUN;21;0;0;63;39;0;100
2011-08-21;CO-CUN;52;0;0;60;28;34;62
2011-08-28;CO-CUN;58;0;0;50;60;0;60
2011-09-04;CO-CUN;34;22;0;51;59;19;38
2011-09-11;CO-CUN;29;0;0;31;0;0;69
2011-09-18;CO-CUN;43;55;0;60;53;0;65
2011-09-25;CO-CUN;60;27;0;55;0;0;73
2011-10-02;CO-CUN;39;0;0;22;0;0;28
2011-10-09;CO-CUN;17;0;0;55;24;0;52
2011-10-16;CO-CUN;32;0;0;38;0;0;80
2011-10-23;CO-CUN;22;0;0;48;0;0;57
2011-10-30;CO-CUN;31;40;0;32;0;0;33
2011-11-06;CO-CUN;40;0;0;86;57;0;26
2011-11-13;CO-CUN;27;0;0;41;55;0;63
2011-11-20;CO-CUN;59;76;0;50;31;0;48
2011-11-27;CO-CUN;47;0;0;80;40;0;61
2011-12-04;CO-CUN;54;0;0;44;0;25;76
2011-12-11;CO-CUN;0;0;0;53;38;0;91
2011-12-18;CO-CUN;55;0;0;58;62;100;45
2011-12-25;CO-CUN;57;0;0;58;68;0;59
2012-01-01;CO-CUN;17;0;0;43;0;43;24
2012-01-08;CO-CUN;41;0;0;12;0;0;55
2012-01-15;CO-CUN;41;50;0;50;51;31;31
2012-01-22;CO-CUN;62;33;0;60;0;0;32
2012-01-29;CO-CUN;19;20;0;62;36;0;66
2012-02-05;CO-CUN;65;0;0;45;23;0;70
2012-02-12;CO-CUN;32;0;0;55;0;0;60
2012-02-19;CO-CUN;60;0;0;40;0;0;26
2012-02-26;CO-CUN;50;41;0;50;0;0;51
2012-03-04;CO-CUN;51;0;0;43;29;0;46
2012-03-11;CO-CUN;93;0;0;63;0;0;31
2012-03-18;CO-CUN;41;29;0;49;57;0;33
2012-03-25;CO-CUN;36;0;0;48;19;0;30
2012-04-01;CO-CUN;53;0;0;54;39;72;45
2012-04-08;CO-CUN;80;0;0;49;52;0;16
2012-04-15;CO-CUN;28;52;0;54;25;0;30
2012-04-22;CO-CUN;43;22;0;71;21;32;100
2012-04-29;CO-CUN;52;0;0;76;32;0;36
2012-05-06;CO-CUN;51;0;0;68;37;0;56
2012-05-13;CO-CUN;80;47;0;47;27;27;21
2012-05-20;CO-CUN;83;44;0;71;0;0;28
2012-05-27;CO-CUN;40;19;0;67;0;44;36
2012-06-03;CO-CUN;41;0;0;43;0;0;58
2012-06-10;CO-CUN;32;100;0;53;0;0;29
2012-06-17;CO-CUN;88;0;0;79;23;0;67
2012-06-24;CO-CUN;42;0;0;86;37;61;34
2012-07-01;CO-CUN;100;0;0;55;88;0;32
2012-07-08;CO-CUN;78;0;0;80;38;0;44
2012-07-15;CO-CUN;57;0;0;60;16;0;44
2012-07-22;CO-CUN;85;0;0;100;16;0;41
2012-07-29;CO-CUN;47;32;0;75;19;0;65
2012-08-05;CO-CUN;51;0;0;76;34;0;26
2012-08-12;CO-CUN;55;0;0;71;0;0;45
2012-08-19;CO-CUN;16;0;0;80;21;70;36
2012-08-26;CO-CUN;13;37;0;67;33;0;48
2012-09-02;CO-CUN;58;62;0;64;49;64;47
2012-09-09;CO-CUN;72;0;0;50;0;25;53
2012-09-16;CO-CUN;30;0;0;74;19;0;69
2012-09-23;CO-CUN;91;0;0;75;41;37;48
2012-09-30;CO-CUN;43;0;0;79;27;61;71
2012-10-07;CO-CUN;51;0;0;65;12;0;36
2012-10-14;CO-CUN;47;0;0;58;12;0;27
2012-10-21;CO-CUN;48;26;0;65;12;0;38
2012-10-28;CO-CUN;53;0;0;75;31;0;54
2012-11-04;CO-CUN;67;0;0;84;36;44;49
2012-11-11;CO-CUN;44;0;0;32;41;0;51
2012-11-18;CO-CUN;66;0;0;57;0;100;60
2012-11-25;CO-CUN;31;0;0;70;36;0;59
2012-12-02;CO-CUN;39;0;0;66;0;0;21
2012-12-09;CO-CUN;52;0;0;95;0;33;39
2012-12-16;CO-CUN;55;0;0;77;17;0;70
2012-12-23;CO-CUN;70;0;0;66;100;0;46
2012-12-30;CO-CUN;62;0;0;48;87;0;60
2013-01-06;CO-CUN;7;0;0;4;0;0;68
2013-01-13;CO-CUN;8;0;0;4;2;2;66
2013-01-20;CO-CUN;6;0;0;4;1;2;36
2013-01-27;CO-CUN;8;1;0;4;2;2;34
2013-02-03;CO-CUN;7;0;0;3;1;1;41
2013-02-10;CO-CUN;2;0;0;3;1;0;62
2013-02-17;CO-CUN;6;1;0;4;1;0;44
2013-02-24;CO-CUN;5;1;0;2;1;1;51
2013-03-03;CO-CUN;8;0;0;3;0;0;35
2013-03-10;CO-CUN;6;0;0;5;3;1;53
2013-03-17;CO-CUN;8;0;0;2;0;1;29
2013-03-24;CO-CUN;5;0;0;3;5;0;78
2013-03-31;CO-CUN;9;1;0;4;0;1;39
2013-04-07;CO-CUN;9;2;0;3;2;1;53
2013-04-14;CO-CUN;7;0;0;4;2;3;54
2013-04-21;CO-CUN;7;0;0;4;3;1;60
2013-04-28;CO-CUN;11;1;0;5;1;1;60
